Name,Year,Group,Status,Birth Date
Joseph M. Acaba,2004,19,Active,5/17/1967
Loren W. Acton,,,Retired,3/7/1936
James C. Adamson,1984,10,Retired,3/3/1946
Thomas D. Akers,1987,12,Retired,5/20/1951
Buzz Aldrin,1963,3,Retired,1/20/1930
Andrew M. Allen,1987,12,Retired,8/4/1955
Joseph P. Allen,1967,6,Retired,6/27/1937
Scott D. Altman,1995,15,Retired,8/15/1959
William A. Anders,1963,3,Retired,10/17/1933
Clayton C. Anderson,1998,17,Retired,2/23/1959
Michael P. Anderson,1995,15,Deceased,12/25/1959
Dominic A. Antonelli,2000,18,Active,8/23/1967
Jerome Apt III,1985,11,Retired,4/18/1949
Lee J. Archambault,1998,17,Retired,8/25/1960
Neil A. Armstrong,1962,2,Deceased,8/5/1930
Richard R. Arnold II,2004,19,Active,11/26/1963
Jeffrey S. Ashby,1995,15,Retired,6/1/1954
Serena M. Aunon,2009,20,Active,4/9/1976
James P. Bagian,1980,9,Retired,2/22/1952
Ellen S. Baker,1984,10,Retired,4/27/1953
Michael A. Baker,1985,11,Management,10/27/1953
Michael R. Barratt,2000,18,Active,4/16/1959
Daniel T. Barry,1992,14,Retired,12/30/1953
John-David F. Bartoe,,,Retired,11/17/1944
Charles A. Bassett II,1963,3,Deceased,12/30/1931
Alan L. Bean,1963,3,Retired,3/15/1932
Robert L. Behnken,2000,18,Active,7/28/1970
John E. Blaha,1980,9,Retired,8/26/1942
Michael J. Bloomfield,1995,15,Retired,3/16/1959
Guion S. Bluford Jr.,1978,8,Retired,11/22/1942
Karol J. Bobko,1969,7,Retired,12/23/1937
Eric A. Boe,2000,18,Active,10/1/1964
Charles F. Bolden Jr.,1980,9,Management,8/19/1946
Frank Borman,1962,2,Retired,3/14/1928
Stephen G. Bowen,2000,18,Active,2/13/1964
Kenneth D. Bowersox,1987,12,Retired,11/14/1956
Charles E. Brady Jr.,1992,14,Deceased,8/12/1951
Vance D. Brand,1966,5,Retired,5/9/1931
Daniel C. Brandenstein,1978,8,Retired,1/17/1943
Randolph J. Bresnik,2004,19,Active,9/11/1967
